talk_id,mentor_topic,speaker,title
70,career,Richard St. John,8 secrets of success
93,career,Barry Schwartz,The paradox of choice
453,career,Elizabeth Gilbert,Your elusive creative genius
618,career,Dan Pink,The puzzle of motivation
1183,career,Matt Cutts,Try something new for 30 days
1384,career,Larry Smith,Why you will fail to have a great career
1682,career,Amanda Palmer,The art of asking
1733,career,Angela Lee Duckworth,Grit: The power of passion and perseverance
1741,career,Meg Jay,Why 30 is not the new 20
1906,career,Sheryl Sandberg,So we leaned in ... now what?
2341,career,Emilie Wapnick,Why some of us don't have one true calling
2474,career,Adam Grant,The surprising habits of original thinkers
1200,communication,Julian Treasure,5 ways to listen better
2034,communication,Julian Treasure,How to speak so that people want to listen
2217,communication,Monica Lewinsky,The price of shame
2435,communication,Celeste Headlee,10 ways to have a better conversation
13589,communication,Graham Shaw,Why people believe they can't draw
517,confidence,Tim Ferriss,"Smash fear, learn anything"
1569,confidence,Amy Cuddy,Your body language may shape who you are
2448,confidence,Reshma Saujani,"Teach girls bravery, not perfection"
2638,confidence,Jia Jiang,What I learned from 100 days of rejection
2799,confidence,Tim Ferriss,Why you should define your fears instead of your goals
13587,confidence,Sam Berns,My philosophy for a happy life
814,leadership,Derek Sivers,How to start a movement
848,leadership,Simon Sinek,How great leaders inspire action
1040,leadership,Sheryl Sandberg,Why we have too few women leaders
1998,leadership,Simon Sinek,Why good leaders make you feel safe
2652,leadership,Adam Grant,Are you a giver or a taker?
1344,productivity,Shawn Achor,The happy secret to better work
1640,productivity,Andy Puddicombe,All it takes is 10 mindful minutes
2458,productivity,Tim Urban,Inside the mind of a master procrastinator
2647,productivity,Laura Vanderkam,How to gain control of your free time
13585,productivity,Mel Robbins,How to stop screwing yourself over
53740,productivity,Guy Winch,How to turn off work thoughts during your free time
97,psychology,Dan Gilbert,The surprising science of happiness
1042,psychology,Brené Brown,The power of vulnerability
1377,psychology,Susan Cain,The power of introverts
1391,psychology,Brené Brown,Listening to shame
1815,psychology,Kelly McGonigal,How to make stress your friend
1894,psychology,Andrew Solomon,"Depression, the secret we share"
2012,psychology,Dan Gilbert,The psychology of your future self
2156,psychology,Carol Dweck,The power of believing that you can improve
2193,psychology,Guy Winch,Why we all need to practice emotional first aid
2420,psychology,Judson Brewer,A simple way to break a bad habit
9463,psychology,Susan David,The gift and power of emotional courage
1728,purpose,Rita F. Pierson,Every kid needs a champion
2005,purpose,Andrew Solomon,How the worst moments in our lives make us who we are
2399,purpose,Robert Waldinger,What makes a good life? Lessons from the longest study on happiness
2861,purpose,Emily Esfahani Smith,There's more to life than being happy
13584,purpose,Mariana Atencio,What makes you special?
